timestamp_utc,temperature_C,cloudiness_%,weather_description,sunrise_utc,sunset_utc
2025-09-04T18:56:50.233191,17.15,20,shower rain,2025-09-04T04:44:34,2025-09-04T17:59:59
2025-09-04T19:26:50.408560,17.04,20,light intensity shower rain,2025-09-04T04:44:34,2025-09-04T17:59:59
2025-09-04T19:56:50.605262,17.04,20,light intensity shower rain,2025-09-04T04:44:34,2025-09-04T17:59:59
2025-09-04T20:26:50.776706,16.95,20,shower rain,2025-09-04T04:44:34,2025-09-04T17:59:59
2025-09-04T20:56:50.963700,16.04,20,shower rain,2025-09-04T04:44:34,2025-09-04T17:59:59
2025-09-04T21:26:51.151983,16.04,20,light intensity shower rain,2025-09-04T04:44:34,2025-09-04T17:59:59
2025-09-04T21:56:51.337756,16.04,0,clear sky,2025-09-04T04:44:34,2025-09-04T17:59:59
2025-09-04T22:26:51.507533,15.96,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-04T22:56:51.667161,15.06,0,clear sky,2025-09-05T04:45:58,2025-09-05T17:57:55
2025-09-04T23:26:51.848134,15.9,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-04T23:56:52.038194,15.06,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T00:26:52.231155,14.97,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T00:56:52.426330,15.06,75,broken clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T01:26:52.615733,15.06,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T01:56:52.830828,15.06,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T02:26:53.006455,15.06,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T02:56:53.181585,15.02,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T03:26:53.371276,14.93,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T03:56:53.546293,13.21,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T04:26:53.729618,13.21,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T04:56:53.902034,13.12,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T05:26:54.084207,13.12,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T05:56:54.281671,13.21,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T06:26:54.455740,14.23,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T06:56:54.652396,15.05,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T07:26:54.874758,15.05,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T07:56:55.124964,15.02,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T08:26:55.317437,15.14,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T08:56:55.525683,15.14,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T09:26:55.751481,15.25,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T09:56:55.926486,15.25,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T10:26:56.110487,16.36,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T10:56:56.527654,16.26,75,broken clouds,2025-09-05T04:45:58,2025-09-05T17:57:55
2025-09-05T11:26:56.724946,17.28,75,broken clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T11:56:56.917283,17.5,75,broken clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T12:26:57.075463,18.47,75,broken clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T12:56:57.273761,18.27,40,scattered clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T13:26:57.452449,16.97,75,broken clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T13:56:57.667709,18.18,20,light intensity shower rain,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T14:26:57.841877,18.23,20,few clouds,2025-09-05T04:45:58,2025-09-05T17:57:55
2025-09-05T14:56:58.041204,18.21,20,shower rain,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T15:26:58.231137,17.41,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T15:56:58.427167,17.41,20,shower rain,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T16:26:58.634462,18.24,20,few clouds,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T16:56:58.820420,18.12,20,few clouds,2025-09-05T04:45:58,2025-09-05T17:57:55
2025-09-05T17:26:58.994935,17.9,0,clear sky,2025-09-05T04:45:58,2025-09-05T17:57:55
2025-09-05T17:56:59.185525,17.75,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
2025-09-05T18:26:59.384590,15.96,0,clear sky,2025-09-05T04:45:57,2025-09-05T17:57:55
